Seguidos no Instagram,
Data,Primary
2023-07-11 00:00:00,4
2023-07-13 00:00:00,1
2023-07-16 00:00:00,2
2023-07-19 00:00:00,2
2023-07-21 00:00:00,1
2023-07-23 00:00:00,1
2023-07-24 00:00:00,3
2023-07-29 00:00:00,1
2023-07-30 00:00:00,2
2023-08-01 00:00:00,2
2023-08-06 00:00:00,1
2023-08-07 00:00:00,3
2023-08-08 00:00:00,2
2023-08-09 00:00:00,5
2023-08-10 00:00:00,3
2023-08-12 00:00:00,1
2023-08-13 00:00:00,2
2023-08-14 00:00:00,2
2023-08-15 00:00:00,2
2023-08-16 00:00:00,1
2023-08-22 00:00:00,3
2023-08-23 00:00:00,1
2023-08-25 00:00:00,2
2023-08-28 00:00:00,1
2023-08-31 00:00:00,2
2023-09-01 00:00:00,1
2023-09-02 00:00:00,2
2023-09-03 00:00:00,2
2023-09-05 00:00:00,3
2023-09-06 00:00:00,2
2023-09-07 00:00:00,1
2023-09-08 00:00:00,2
2023-09-09 00:00:00,1
2023-09-11 00:00:00,2
2023-09-12 00:00:00,4
2023-09-13 00:00:00,1
2023-09-14 00:00:00,1
2023-09-15 00:00:00,4
2023-09-16 00:00:00,2
2023-09-17 00:00:00,1
2023-09-19 00:00:00,3
2023-09-21 00:00:00,1
2023-09-22 00:00:00,3
2023-09-23 00:00:00,2
2023-09-24 00:00:00,1
2023-09-25 00:00:00,1
2023-09-26 00:00:00,1
2023-09-27 00:00:00,1
2023-09-28 00:00:00,2
2023-09-29 00:00:00,1
2023-10-01 00:00:00,1
2023-10-02 00:00:00,2
2023-10-03 00:00:00,2
2023-10-04 00:00:00,1
2023-10-05 00:00:00,1
2023-10-06 00:00:00,2
2023-10-08 00:00:00,1
2023-10-09 00:00:00,3
2023-10-14 00:00:00,1
2023-10-15 00:00:00,1
2023-10-17 00:00:00,8
2023-10-18 00:00:00,6
2023-10-19 00:00:00,4
2023-10-20 00:00:00,8
2023-10-22 00:00:00,1
2023-10-23 00:00:00,1
2023-10-24 00:00:00,1
2023-10-25 00:00:00,2
2023-10-26 00:00:00,2
2023-10-30 00:00:00,1
2023-10-31 00:00:00,1
2023-11-01 00:00:00,1
2023-11-02 00:00:00,1
2023-11-03 00:00:00,1
2023-11-04 00:00:00,1
2023-11-05 00:00:00,1
2023-11-06 00:00:00,1
2023-11-07 00:00:00,2
2023-11-09 00:00:00,3
2023-11-10 00:00:00,1
2023-11-12 00:00:00,1
2023-11-13 00:00:00,5
2023-11-14 00:00:00,1
2023-11-15 00:00:00,1
2023-11-17 00:00:00,3
2023-11-21 00:00:00,2
2023-11-23 00:00:00,1
2023-11-25 00:00:00,1
2023-11-27 00:00:00,1
2023-11-28 00:00:00,2
2023-11-29 00:00:00,1
2023-11-30 00:00:00,3
2023-12-01 00:00:00,1
2023-12-03 00:00:00,2
2023-12-05 00:00:00,9
2023-12-07 00:00:00,1
2023-12-10 00:00:00,1
2023-12-11 00:00:00,2
2023-12-12 00:00:00,1
2023-12-13 00:00:00,3
2023-12-16 00:00:00,1
2023-12-17 00:00:00,3
2023-12-18 00:00:00,2
2023-12-19 00:00:00,2
2023-12-23 00:00:00,3
2023-12-26 00:00:00,1
2023-12-27 00:00:00,1
2024-01-04 00:00:00,1
2024-01-05 00:00:00,1
2024-01-08 00:00:00,1
2024-01-09 00:00:00,1
2024-01-11 00:00:00,5
2024-01-13 00:00:00,1
2024-01-15 00:00:00,2
2024-01-16 00:00:00,6
2024-01-17 00:00:00,1
2024-01-18 00:00:00,2
2024-01-20 00:00:00,1
2024-01-22 00:00:00,1
2024-01-24 00:00:00,1
2024-01-25 00:00:00,1
2024-01-27 00:00:00,1
2024-01-28 00:00:00,1
2024-01-29 00:00:00,2
2024-01-31 00:00:00,8
2024-02-02 00:00:00,1
2024-02-03 00:00:00,3
2024-02-06 00:00:00,1
2024-02-07 00:00:00,3
2024-02-08 00:00:00,1
2024-02-09 00:00:00,1
2024-02-14 00:00:00,1
2024-02-15 00:00:00,1
2024-02-16 00:00:00,6
2024-02-18 00:00:00,1
2024-02-19 00:00:00,2
2024-02-20 00:00:00,2
2024-02-21 00:00:00,1
2024-02-22 00:00:00,4
2024-02-25 00:00:00,2
2024-02-26 00:00:00,2
2024-02-27 00:00:00,2
2024-02-28 00:00:00,1
2024-03-02 00:00:00,3
2024-03-03 00:00:00,2
2024-03-04 00:00:00,1
2024-03-06 00:00:00,3
2024-03-07 00:00:00,5
2024-03-09 00:00:00,1
2024-03-10 00:00:00,2
2024-03-11 00:00:00,1
2024-03-12 00:00:00,2
2024-03-13 00:00:00,2
2024-03-14 00:00:00,3
2024-03-15 00:00:00,4
2024-03-16 00:00:00,4
2024-03-17 00:00:00,1
2024-03-18 00:00:00,1
2024-03-19 00:00:00,2
2024-03-20 00:00:00,8
2024-03-21 00:00:00,3
2024-03-22 00:00:00,1
2024-03-23 00:00:00,3
2024-03-25 00:00:00,2
2024-03-26 00:00:00,2
2024-03-27 00:00:00,4
2024-03-28 00:00:00,1
2024-03-29 00:00:00,1
2024-04-01 00:00:00,1
