Data,Seguidores orgânicos
04/03/2023,0
04/04/2023,3
04/05/2023,4
04/06/2023,4
04/07/2023,2
04/08/2023,0
04/09/2023,1
04/10/2023,2
04/11/2023,1
04/12/2023,1
04/13/2023,1
04/14/2023,3
04/15/2023,0
04/16/2023,1
04/17/2023,2
04/18/2023,0
04/19/2023,3
04/20/2023,3
04/21/2023,0
04/22/2023,2
04/23/2023,0
04/24/2023,4
04/25/2023,4
04/26/2023,2
04/27/2023,2
04/28/2023,3
04/29/2023,3
04/30/2023,3
05/01/2023,4
05/02/2023,3
05/03/2023,4
05/04/2023,2
05/05/2023,0
05/06/2023,1
05/07/2023,1
05/08/2023,2
05/09/2023,3
05/10/2023,3
05/11/2023,2
05/12/2023,3
05/13/2023,2
05/14/2023,1
05/15/2023,0
05/16/2023,0
05/17/2023,3
05/18/2023,2
05/19/2023,1
05/20/2023,1
05/21/2023,0
05/22/2023,1
05/23/2023,2
05/24/2023,1
05/25/2023,8
05/26/2023,2
05/27/2023,0
05/28/2023,1
05/29/2023,1
05/30/2023,3
05/31/2023,1
06/01/2023,4
06/02/2023,4
06/03/2023,3
06/04/2023,1
06/05/2023,4
06/06/2023,2
06/07/2023,3
06/08/2023,0
06/09/2023,1
06/10/2023,0
06/11/2023,0
06/12/2023,1
06/13/2023,7
06/14/2023,0
06/15/2023,3
06/16/2023,1
06/17/2023,1
06/18/2023,0
06/19/2023,0
06/20/2023,3
06/21/2023,3
06/22/2023,3
06/23/2023,1
06/24/2023,1
06/25/2023,3
06/26/2023,3
06/27/2023,2
06/28/2023,5
06/29/2023,2
06/30/2023,1
07/01/2023,0
07/02/2023,1
07/03/2023,2
07/04/2023,3
07/05/2023,1
07/06/2023,2
07/07/2023,2
07/08/2023,1
07/09/2023,1
07/10/2023,1
07/11/2023,8
07/12/2023,8
07/13/2023,6
07/14/2023,25
07/15/2023,2
07/16/2023,2
07/17/2023,40
07/18/2023,10
07/19/2023,6
07/20/2023,6
07/21/2023,1
07/22/2023,4
07/23/2023,3
07/24/2023,6
07/25/2023,3
07/26/2023,8
07/27/2023,2
07/28/2023,1
07/29/2023,2
07/30/2023,5
07/31/2023,1
08/01/2023,1
08/02/2023,2
08/03/2023,2
08/04/2023,2
08/05/2023,1
08/06/2023,0
08/07/2023,6
08/08/2023,2
08/09/2023,4
08/10/2023,5
08/11/2023,3
08/12/2023,2
08/13/2023,2
08/14/2023,3
08/15/2023,5
08/16/2023,2
08/17/2023,0
08/18/2023,3
08/19/2023,1
08/20/2023,-1
08/21/2023,5
08/22/2023,6
08/23/2023,17
08/24/2023,4
08/25/2023,5
08/26/2023,1
08/27/2023,0
08/28/2023,2
08/29/2023,2
08/30/2023,3
08/31/2023,2
09/01/2023,7
09/02/2023,9
09/03/2023,5
09/04/2023,4
09/05/2023,2
09/06/2023,4
09/07/2023,2
09/08/2023,2
09/09/2023,1
09/10/2023,0
09/11/2023,4
09/12/2023,5
09/13/2023,4
09/14/2023,5
09/15/2023,2
09/16/2023,1
09/17/2023,0
09/18/2023,1
09/19/2023,8
09/20/2023,3
09/21/2023,9
09/22/2023,0
09/23/2023,0
09/24/2023,0
09/25/2023,3
09/26/2023,4
09/27/2023,2
09/28/2023,5
09/29/2023,4
09/30/2023,2
10/01/2023,1
10/02/2023,5
10/03/2023,8
10/04/2023,0
10/05/2023,2
10/06/2023,3
10/07/2023,1
10/08/2023,2
10/09/2023,3
10/10/2023,6
10/11/2023,4
10/12/2023,2
10/13/2023,2
10/14/2023,0
10/15/2023,1
10/16/2023,0
10/17/2023,9
10/18/2023,52
10/19/2023,12
10/20/2023,11
10/21/2023,3
10/22/2023,1
10/23/2023,9
10/24/2023,3
10/25/2023,6
10/26/2023,7
10/27/2023,6
10/28/2023,1
10/29/2023,0
10/30/2023,4
10/31/2023,2
11/01/2023,1
11/02/2023,1
11/03/2023,1
11/04/2023,1
11/05/2023,2
11/06/2023,8
11/07/2023,2
11/08/2023,2
11/09/2023,5
11/10/2023,6
11/11/2023,4
11/12/2023,2
11/13/2023,0
11/14/2023,5
11/15/2023,2
11/16/2023,5
11/17/2023,2
11/18/2023,0
11/19/2023,0
11/20/2023,2
11/21/2023,2
11/22/2023,5
11/23/2023,2
11/24/2023,1
11/25/2023,0
11/26/2023,0
11/27/2023,2
11/28/2023,2
11/29/2023,7
11/30/2023,3
12/01/2023,0
12/02/2023,3
12/03/2023,2
12/04/2023,2
12/05/2023,1
12/06/2023,1
12/07/2023,6
12/08/2023,4
12/09/2023,3
12/10/2023,1
12/11/2023,5
12/12/2023,5
12/13/2023,1
12/14/2023,4
12/15/2023,3
12/16/2023,0
12/17/2023,0
12/18/2023,4
12/19/2023,6
12/20/2023,6
12/21/2023,5
12/22/2023,8
12/23/2023,2
12/24/2023,1
12/25/2023,0
12/26/2023,3
12/27/2023,2
12/28/2023,3
12/29/2023,5
12/30/2023,1
12/31/2023,0
01/01/2024,0
01/02/2024,2
01/03/2024,2
01/04/2024,3
01/05/2024,5
01/06/2024,4
01/07/2024,0
01/08/2024,2
01/09/2024,-1
01/10/2024,2
01/11/2024,4
01/12/2024,0
01/13/2024,2
01/14/2024,0
01/15/2024,9
01/16/2024,18
01/17/2024,8
01/18/2024,4
01/19/2024,2
01/20/2024,5
01/21/2024,2
01/22/2024,7
01/23/2024,2
01/24/2024,4
01/25/2024,10
01/26/2024,4
01/27/2024,3
01/28/2024,3
01/29/2024,2
01/30/2024,5
01/31/2024,2
02/01/2024,11
02/02/2024,4
02/03/2024,2
02/04/2024,2
02/05/2024,1
02/06/2024,2
02/07/2024,7
02/08/2024,19
02/09/2024,5
02/10/2024,1
02/11/2024,1
02/12/2024,4
02/13/2024,3
02/14/2024,1
02/15/2024,3
02/16/2024,5
02/17/2024,3
02/18/2024,3
02/19/2024,2
02/20/2024,5
02/21/2024,2
02/22/2024,2
02/23/2024,6
02/24/2024,3
02/25/2024,1
02/26/2024,7
02/27/2024,5
02/28/2024,4
02/29/2024,4
03/01/2024,0
03/02/2024,4
03/03/2024,1
03/04/2024,2
03/05/2024,5
03/06/2024,5
03/07/2024,7
03/08/2024,4
03/09/2024,4
03/10/2024,1
03/11/2024,2
03/12/2024,7
03/13/2024,4
03/14/2024,4
03/15/2024,13
03/16/2024,5
03/17/2024,2
03/18/2024,3
03/19/2024,10
03/20/2024,6
03/21/2024,4
03/22/2024,5
03/23/2024,5
03/24/2024,3
03/25/2024,9
03/26/2024,15
03/27/2024,11
03/28/2024,3
03/29/2024,3
03/30/2024,0
03/31/2024,2
04/01/2024,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
